rating_id,cooler_id,user_handle,rating,review_body,created_at_rating,name,brand_name,normalized_category,abv,price_cents,price_dollars,image_url,lcbo_id,created_at_cooler,category_code,cat_cider,cat_cooler,cat_hard_seltzer,cat_other,cat_radler,price_tier,abv_tier,abv_norm,price_norm,user_mean_rating,user_rating_count,user_rating_std,avg_rating,rating_count
11,15,LCBOHunter,5,Nude grapefruit is underrated. Clean spirit base with real citrus bite.,2024-02-08T11:30:00Z,Nude Vodka Soda Grapefruit 355mL,Nude,hard_seltzer,5.0,310,3.1,,lcbo-100015,2024-01-15T10:14:00Z,2,False,False,True,False,False,mid,standard,1.0,0.018480492813141694,4.0,4,0.8164965809277259,4.5,2
12,16,LCBOHunter,4,Peach tea Nude is unique — actually tastes like iced tea with a kick.,2024-02-08T11:33:00Z,Nude Vodka Soda Peach Tea 355mL,Nude,hard_seltzer,5.0,310,3.1,,lcbo-100016,2024-01-15T10:15:00Z,2,False,False,True,False,False,mid,standard,1.0,0.018480492813141694,4.0,4,0.8164965809277259,4.0,1
13,48,LCBOHunter,4,NÜTRL grapefruit competes with Nude. Slightly more carbonation which I prefer.,2024-02-08T11:36:00Z,NÜTRL Vodka Soda Grapefruit 355mL,NÜTRL,hard_seltzer,4.5,305,3.05,,lcbo-100048,2024-01-15T10:47:00Z,2,False,False,True,False,False,mid,light,0.8,0.016427104722792615,4.0,4,0.8164965809277259,4.0,1
14,49,LCBOHunter,3,NÜTRL raspberry is a bit artificial tasting vs the grapefruit version.,2024-02-08T11:39:00Z,NÜTRL Vodka Soda Raspberry 355mL,NÜTRL,hard_seltzer,4.5,305,3.05,,lcbo-100049,2024-01-15T10:48:00Z,2,False,False,True,False,False,mid,light,0.8,0.016427104722792615,4.0,4,0.8164965809277259,3.0,1
15,5,SundownDrinker,5,Ace Hill Lemon is the Ontario local hero. Support local.,2024-02-10T20:00:00Z,Ace Hill Lemon Vodka Soda 355mL,Ace Hill,hard_seltzer,4.5,325,3.25,,lcbo-100005,2024-01-15T10:04:00Z,2,False,False,True,False,False,mid,light,0.8,0.024640657084188902,3.75,4,1.2583057392117916,4.5,2
16,6,SundownDrinker,4,Watermelon Ace Hill is great for summer patios.,2024-02-10T20:03:00Z,Ace Hill Watermelon Vodka Soda 355mL,Ace Hill,hard_seltzer,4.5,325,3.25,,lcbo-100006,2024-01-15T10:05:00Z,2,False,False,True,False,False,mid,light,0.8,0.024640657084188902,3.75,4,1.2583057392117916,4.0,1
17,7,SundownDrinker,4,Lime version is solid too. Consistent quality across the Ace Hill lineup.,2024-02-10T20:06:00Z,Ace Hill Lime Vodka Soda 355mL,Ace Hill,hard_seltzer,4.5,325,3.25,,lcbo-100007,2024-01-15T10:06:00Z,2,False,False,True,False,False,mid,light,0.8,0.024640657084188902,3.75,4,1.2583057392117916,4.0,1
18,28,SundownDrinker,2,Smirnoff Ice is too sweet. More like a pop than a real drink.,2024-02-10T20:09:00Z,Smirnoff Ice Original 355mL,Smirnoff,cooler,4.5,289,2.89,,lcbo-100028,2024-01-15T10:27:00Z,1,False,True,False,False,False,budget,light,0.8,0.009856262833675578,3.75,4,1.2583057392117916,2.0,1
19,32,CaesarConnoisseur,5,Bud Light Clamato Caesar hits different after a long week.,2024-02-12T17:55:00Z,Bud Light Lime Clamato 355mL,Bud Light,cooler,4.0,265,2.65,,lcbo-100032,2024-01-15T10:31:00Z,1,False,True,False,False,False,budget,light,0.6000000000000001,0.0,4.75,4,0.5,5.0,1
20,45,CaesarConnoisseur,5,The craft Caesar is elevated — more complex spice profile.,2024-02-12T17:58:00Z,Caesar Craft Vodka Clamato 355mL,Mott's Clamato,other,5.0,349,3.49,,lcbo-100045,2024-01-15T10:44:00Z,3,False,False,False,True,False,mid,standard,1.0,0.03449691991786448,4.75,4,0.5,5.0,1
21,46,CaesarConnoisseur,4,Classic Mott's Caesar Original. The original and still great.,2024-02-12T18:01:00Z,Mott's Clamato Caesar Original 355mL,Mott's Clamato,other,5.0,349,3.49,,lcbo-100046,2024-01-15T10:45:00Z,3,False,False,False,True,False,mid,standard,1.0,0.03449691991786448,4.75,4,0.5,4.0,1
22,47,CaesarConnoisseur,5,Extra spicy is the way to go if you can handle heat.,2024-02-12T18:04:00Z,Mott's Clamato Caesar Extra Spicy 355mL,Mott's Clamato,other,5.0,349,3.49,,lcbo-100047,2024-01-15T10:46:00Z,3,False,False,False,True,False,mid,standard,1.0,0.03449691991786448,4.75,4,0.5,5.0,1
23,2,CoffeeAndCocktails,5,Absolut Espresso Martini in a can is legitimately good. Saved me $20 at a bar.,2024-02-14T22:10:00Z,Absolut Cocktail Espresso Martini 355mL,Absolut,cooler,5.0,2695,26.95,,lcbo-100002,2024-01-15T10:01:00Z,1,False,True,False,False,False,premium,standard,1.0,0.997946611909651,4.0,3,1.0,5.0,1
24,3,CoffeeAndCocktails,4,Vodka Mojito from Absolut is fresh and minty. Perfect summer RTD.,2024-02-14T22:13:00Z,Absolut Cocktail Vodka Mojito 355mL,Absolut,cooler,5.0,2700,27.0,,lcbo-100003,2024-01-15T10:02:00Z,1,False,True,False,False,False,premium,standard,1.0,1.0,4.0,3,1.0,4.0,1
25,4,CoffeeAndCocktails,3,Ocean Spray collab is decent but I prefer the pure vodka sodas.,2024-02-14T22:16:00Z,Absolut Ocean Spray Cranberry 355mL,Absolut Ocean Spray,cooler,4.5,325,3.25,,lcbo-100004,2024-01-15T10:03:00Z,1,False,True,False,False,False,mid,light,0.8,0.024640657084188902,4.0,3,1.0,3.0,1
26,33,HealthyHydration,4,Vizzy blueberry pomegranate is a nice change from the usual suspects.,2024-02-17T10:45:00Z,Vizzy Hard Seltzer Blueberry Pomegranate 355mL,Vizzy,hard_seltzer,5.0,319,3.19,,lcbo-100033,2024-01-15T10:32:00Z,2,False,False,True,False,False,mid,standard,1.0,0.022176591375770036,4.0,4,0.816496580927726,4.0,1
27,34,HealthyHydration,5,Pineapple mango Vizzy is tropical perfection. My new summer staple.,2024-02-17T10:48:00Z,Vizzy Hard Seltzer Pineapple Mango 355mL,Vizzy,hard_seltzer,5.0,319,3.19,,lcbo-100034,2024-01-15T10:33:00Z,2,False,False,True,False,False,mid,standard,1.0,0.022176591375770036,4.0,4,0.816496580927726,5.0,1
28,12,HealthyHydration,3,Truly Wild Berry is fine but not as clean as White Claw.,2024-02-17T10:51:00Z,Truly Wild Berry Hard Seltzer 355mL,Truly,hard_seltzer,5.0,319,3.19,,lcbo-100012,2024-01-15T10:11:00Z,2,False,False,True,False,False,mid,standard,1.0,0.022176591375770036,4.0,4,0.816496580927726,3.0,1
29,13,HealthyHydration,4,Truly Lemonade is bold and tangy. Good if you want more flavour punch.,2024-02-17T10:54:00Z,Truly Lemonade Hard Seltzer 355mL,Truly,hard_seltzer,5.0,319,3.19,,lcbo-100013,2024-01-15T10:12:00Z,2,False,False,True,False,False,mid,standard,1.0,0.022176591375770036,4.0,4,0.816496580927726,4.0,1
30,18,BudgetBeverage,5,Cottage Springs Lemon is the best value vodka soda in Ontario.,2024-02-19T15:20:00Z,Cottage Springs Vodka Soda Lemon 355mL,Cottage Springs,hard_seltzer,5.0,290,2.9,,lcbo-100018,2024-01-15T10:17:00Z,2,False,False,True,False,False,budget,standard,1.0,0.01026694045174538,4.333333333333333,3,0.5773502691896257,5.0,1
31,19,BudgetBeverage,4,Raspberry Cottage Springs is close second. Both are excellent for the price.,2024-02-19T15:23:00Z,Cottage Springs Vodka Soda Raspberry 355mL,Cottage Springs,hard_seltzer,5.0,290,2.9,,lcbo-100019,2024-01-15T10:18:00Z,2,False,False,True,False,False,budget,standard,1.0,0.01026694045174538,4.333333333333333,3,0.5773502691896257,4.0,1
32,20,BudgetBeverage,4,Gin and Soda Cucumber is sophisticated. Great for gin lovers on a budget.,2024-02-19T15:26:00Z,Cottage Springs Gin & Soda Cucumber 355mL,Cottage Springs,hard_seltzer,5.0,299,2.99,,lcbo-100020,2024-01-15T10:19:00Z,2,False,False,True,False,False,budget,standard,1.0,0.013963039014373735,4.333333333333333,3,0.5773502691896257,4.0,1
33,8,PatioSeason,4,White Claw Black Cherry is a classic for a reason.,2024-02-21T13:00:00Z,White Claw Hard Seltzer Black Cherry 355mL,White Claw,hard_seltzer,5.0,325,3.25,,lcbo-100008,2024-01-15T10:07:00Z,2,False,False,True,False,False,mid,standard,1.0,0.024640657084188902,4.333333333333333,3,0.5773502691896257,4.5,2
34,11,PatioSeason,5,White Claw Raspberry might be their best flavour overall.,2024-02-21T13:03:00Z,White Claw Hard Seltzer Raspberry 355mL,White Claw,hard_seltzer,5.0,325,3.25,,lcbo-100011,2024-01-15T10:10:00Z,2,False,False,True,False,False,mid,standard,1.0,0.024640657084188902,4.333333333333333,3,0.5773502691896257,5.0,1
35,22,PatioSeason,4,Palm Bay Mango Strawberry is ridiculously fruity — in a good way.,2024-02-21T13:06:00Z,Palm Bay Mango Strawberry 355mL,Palm Bay,cooler,4.0,279,2.79,,lcbo-100022,2024-01-15T10:21:00Z,1,False,True,False,False,False,budget,light,0.6000000000000001,0.00574948665297742,4.333333333333333,3,0.5773502691896257,4.0,1
36,37,AppleOrchardFan,4,Strongbow Dark Fruit has an interesting berry-forward character.,2024-02-23T18:30:00Z,Strongbow Dark Fruit Cider 473mL,Strongbow,cider,4.5,299,2.99,,lcbo-100037,2024-01-15T10:36:00Z,0,True,False,False,False,False,budget,light,0.8,0.013963039014373735,3.75,4,0.9574271077563381,4.0,1
37,40,AppleOrchardFan,5,Rekorderlig Mango Raspberry is my favourite premium cider. So unique.,2024-02-23T18:33:00Z,Rekorderlig Mango Raspberry Cider 500mL,Rekorderlig,cider,4.5,399,3.99,,lcbo-100040,2024-01-15T10:39:00Z,0,True,False,False,False,False,mid,light,0.8,0.05503080082135524,3.75,4,0.9574271077563381,5.0,1
38,42,AppleOrchardFan,3,Kopparberg Strawberry Lime is very sweet — dessert in a can.,2024-02-23T18:36:00Z,Kopparberg Strawberry Lime Cider 500mL,Kopparberg,cider,4.5,389,3.89,,lcbo-100042,2024-01-15T10:41:00Z,0,True,False,False,False,False,mid,light,0.8,0.05092402464065708,3.75,4,0.9574271077563381,3.0,1
39,44,AppleOrchardFan,3,Somersby Blackberry is okay but the apple version is better.,2024-02-23T18:39:00Z,Somersby Blackberry Cider 500mL,Somersby,cider,4.5,345,3.45,,lcbo-100044,2024-01-15T10:43:00Z,0,True,False,False,False,False,mid,light,0.8,0.03285420944558522,3.75,4,0.9574271077563381,3.0,1
40,1,NightOwl99,5,The -196 Lemon is elite. Nothing else at this price point competes.,2024-02-25T23:45:00Z,-196 Lemon Vodka Soda 500mL,-196 LEMON VODKA SODA,hard_seltzer,5.0,350,3.5,,lcbo-100001,2024-01-15T10:00:00Z,2,False,False,True,False,False,mid,standard,1.0,0.034907597535934295,4.5,4,0.5773502691896257,5.0,2
41,5,NightOwl99,4,Ace Hill Lemon is second place for lemon RTDs after -196.,2024-02-25T23:48:00Z,Ace Hill Lemon Vodka Soda 355mL,Ace Hill,hard_seltzer,4.5,325,3.25,,lcbo-100005,2024-01-15T10:04:00Z,2,False,False,True,False,False,mid,light,0.8,0.024640657084188902,4.5,4,0.5773502691896257,4.5,2
42,15,NightOwl99,4,Nude Grapefruit is a great late night option.,2024-02-25T23:51:00Z,Nude Vodka Soda Grapefruit 355mL,Nude,hard_seltzer,5.0,310,3.1,,lcbo-100015,2024-01-15T10:14:00Z,2,False,False,True,False,False,mid,standard,1.0,0.018480492813141694,4.5,4,0.5773502691896257,4.5,2
43,50,NightOwl99,5,NÜTRL Watermelon is summer in a can. Buy a case.,2024-02-25T23:54:00Z,NÜTRL Vodka Soda Watermelon 355mL,NÜTRL,hard_seltzer,4.5,305,3.05,,lcbo-100050,2024-01-15T10:49:00Z,2,False,False,True,False,False,mid,light,0.8,0.016427104722792615,4.5,4,0.5773502691896257,5.0,1
44,31,CasualFridayDrinks,3,Creemore Radler is a bit too mellow for me but solid for a session drink.,2024-02-27T17:10:00Z,Creemore Springs Radler Grapefruit 355mL,Creemore Springs,radler,2.5,299,2.99,,lcbo-100031,2024-01-15T10:30:00Z,4,False,False,False,False,True,budget,session,0.0,0.013963039014373735,3.0,4,0.816496580927726,3.0,1
45,26,CasualFridayDrinks,4,Mike's Hard Black Cherry Lemonade is nostalgic and still hits.,2024-02-27T17:13:00Z,Mike's Hard Black Cherry Lemonade 355mL,Mike's Hard,cooler,5.0,305,3.05,,lcbo-100026,2024-01-15T10:25:00Z,1,False,True,False,False,False,mid,standard,1.0,0.016427104722792615,3.0,4,0.816496580927726,4.0,1
46,27,CasualFridayDrinks,3,Mike's Hard Watermelon is too sweet but fine for a casual Friday.,2024-02-27T17:16:00Z,Mike's Hard Watermelon 355mL,Mike's Hard,cooler,5.0,305,3.05,,lcbo-100027,2024-01-15T10:26:00Z,1,False,True,False,False,False,mid,standard,1.0,0.016427104722792615,3.0,4,0.816496580927726,3.0,1
47,29,CasualFridayDrinks,2,Smirnoff Ice Screwdriver tastes like orange pop.,2024-02-27T17:19:00Z,Smirnoff Ice Screwdriver 355mL,Smirnoff,cooler,4.5,289,2.89,,lcbo-100029,2024-01-15T10:28:00Z,1,False,True,False,False,False,budget,light,0.8,0.009856262833675578,3.0,4,0.816496580927726,2.0,1
48,23,SummerCottage,5,Palm Bay Tropical Lime is the ultimate dock drink.,2024-03-01T12:00:00Z,Palm Bay Tropical Lime 355mL,Palm Bay,cooler,4.0,279,2.79,,lcbo-100023,2024-01-15T10:22:00Z,1,False,True,False,False,False,budget,light,0.6000000000000001,0.00574948665297742,4.666666666666667,3,0.5773502691896257,5.0,1
49,24,SummerCottage,4,Palm Bay Pineapple Coconut is very tropical — great for a themed party.,2024-03-01T12:03:00Z,Palm Bay Pineapple Coconut 355mL,Palm Bay,cooler,4.0,279,2.79,,lcbo-100024,2024-01-15T10:23:00Z,1,False,True,False,False,False,budget,light,0.6000000000000001,0.00574948665297742,4.666666666666667,3,0.5773502691896257,4.0,1
50,17,SummerCottage,5,Nude Raspberry Lemonade is dangerously drinkable. Watch out.,2024-03-01T12:06:00Z,Nude Vodka Soda Raspberry Lemonade 355mL,Nude,hard_seltzer,5.0,310,3.1,,lcbo-100017,2024-01-15T10:16:00Z,2,False,False,True,False,False,mid,standard,1.0,0.018480492813141694,4.666666666666667,3,0.5773502691896257,5.0,1
